fault_type,recovery_type,recovery_status,mq2_value,motion_state
0,0,0,1425,1
0,0,0,1429,1
0,0,0,1434,1
0,0,0,1438,1
0,0,0,1434,1
0,0,0,1442,1
0,0,0,1434,1
0,0,0,1427,1
0,0,0,1426,1
0,0,0,1434,1
0,0,0,1427,1
0,0,0,1431,1
0,0,0,1420,1
0,0,0,1418,1
0,0,0,1423,1
0,0,0,1419,1
2,1,1,1422,0
0,0,0,1419,1
2,1,1,1424,0
0,0,0,1427,0
0,0,0,1424,1
0,0,0,1419,1
4,2,1,1423,0
0,0,0,1421,1
0,0,0,1415,1
0,0,0,1418,1
0,0,0,1423,1
0,0,0,1418,1
4,2,1,1413,0
0,0,0,1498,1
0,0,0,1418,1
0,0,0,1423,1
2,1,2,1418,1
0,0,0,1421,0
0,0,0,1417,0
0,0,0,1419,0
0,0,0,1414,1
0,0,0,1417,1
0,0,0,1422,1
0,0,0,1418,1
0,0,0,1419,1
4,2,1,1414,0
0,0,0,1418,1
0,0,0,1421,1
0,0,0,1419,1
0,0,0,1418,1
0,0,0,1421,1
0,0,0,1418,1
2,1,1,1418,0
5,4,1,1414,0
0,0,0,1421,0
0,0,0,1419,0
0,0,0,1418,1
0,0,0,1419,1
0,0,0,1423,1
0,0,0,1411,1
0,0,0,1415,1
3,3,1,1413,0
0,0,0,1424,1
0,0,0,1410,1
0,0,0,1415,1
0,0,0,1415,1
0,0,0,1418,1
2,1,2,1408,1
5,4,1,1392,0
0,0,0,1424,0
0,0,0,1408,0
0,0,0,1406,1
5,4,1,1405,0
0,0,0,1408,1
0,0,0,1408,1
0,0,0,1407,1
0,0,0,1407,1
2,1,2,1405,1
1,1,2,1406,1
0,0,0,1407,0
0,0,0,1395,0
0,0,0,1402,0
2,1,1,1403,0
0,0,0,1404,0
0,0,0,1407,0
0,0,0,1408,0
0,0,0,1402,0
0,0,0,1410,0
2,1,2,1406,0
2,1,1,1402,0
0,0,0,1410,0
0,0,0,1409,1
0,0,0,1410,0
2,1,1,1407,0
2,1,2,1397,1
0,0,0,1408,0
0,0,0,1399,0
0,0,0,1402,0
0,0,0,1404,1
0,0,0,1399,1
0,0,0,1402,1
0,0,0,1406,1
1,1,2,1406,0
0,0,0,1395,1
0,0,0,1392,1
0,0,0,1398,1
0,0,0,1398,1
0,0,0,1394,1
2,1,1,1398,0
0,0,0,1403,1
2,1,1,1398,0
0,0,0,1401,0
0,0,0,1403,1
0,0,0,1403,1
0,0,0,1400,1
0,0,0,1404,1
0,0,0,1404,1
4,2,1,1402,0
0,0,0,1403,1
0,0,0,1405,1
0,0,0,1404,1
0,0,0,1398,1
0,0,0,1395,1
0,0,0,1408,1
2,1,2,1409,0
2,1,1,1404,0
0,0,0,1405,0
0,0,0,1409,0
0,0,0,1339,1
0,0,0,37,1
3,3,1,48,0
0,0,0,43,1
0,0,0,41,1
0,0,0,47,1
2,1,1,45,0
0,0,0,45,1
2,1,1,45,0
0,0,0,50,0
0,0,0,49,1
0,0,0,45,1
0,0,0,45,1
0,0,0,47,1
0,0,0,48,1
1,1,1,0,0
0,0,0,47,1
1,1,1,48,0
0,0,0,4095,1
0,0,0,48,1
0,0,0,48,1
0,0,0,46,1
0,0,0,47,1
0,0,0,47,1
0,0,0,48,1
0,0,0,49,1
0,0,0,48,1
0,0,0,48,1
1,1,1,47,0
0,0,0,50,1
1,1,1,48,0
0,0,0,4095,1
0,0,0,37,1
0,0,0,48,1
0,0,0,27,1
0,0,0,48,1
5,4,1,47,0
0,0,0,48,1
0,0,0,48,1
0,0,0,44,1
0,0,0,48,1
4,2,1,49,0
0,0,0,39,1
0,0,0,50,1
0,0,0,47,1
0,0,0,1218,1
0,0,0,1231,1
0,0,0,1264,1
0,0,0,1265,1
0,0,0,1261,1
0,0,0,1264,1
0,0,0,1214,1
0,0,0,1251,1
0,0,0,1217,1
0,0,0,1219,1
0,0,0,1218,1
0,0,0,1207,1
0,0,0,1211,1
0,0,0,1207,1
0,0,0,1205,1
3,3,1,1216,0
0,0,0,1201,1
0,0,0,1206,1
0,0,0,1217,1
0,0,0,1216,1
0,0,0,1216,1
0,0,0,1211,1
0,0,0,1211,1
0,0,0,1210,1
0,0,0,1213,1
0,0,0,1225,1
0,0,0,1213,1
0,0,0,1206,1
0,0,0,1207,1
0,0,0,1205,1
0,0,0,1203,1
0,0,0,1224,1
0,0,0,1239,1
0,0,0,1209,1
0,0,0,1243,1
0,0,0,1242,1
0,0,0,1246,1
0,0,0,1218,1
5,4,1,1243,0
0,0,0,1239,1
0,0,0,1238,1
0,0,0,1244,1
0,0,0,1241,1
0,0,0,1243,1
5,4,1,1242,0
0,0,0,1243,1
0,0,0,1245,1
0,0,0,1247,1
0,0,0,1243,1
0,0,0,1243,1
0,0,0,1241,1
0,0,0,1238,1
1,1,2,1238,0
0,0,0,1239,1
0,0,0,1248,1
0,0,0,1235,1
0,0,0,1239,1
0,0,0,1235,1
0,0,0,1245,1
0,0,0,1237,1
3,3,1,1238,0
0,0,0,1241,1
0,0,0,1243,1
0,0,0,1246,1
